ragione_sociale,email,sito_web,descrizione,nazione,stand,telefono,marchi,social,nuovo
AGENZIA DI SVILUPPO - AZ. SPEC. CCIAA CHIETI PESCARA,,www.agenziadisviluppo.net,"Borse|Piccola pelletteria (portafogli,",ITALIA,,3358332426,,,SI
AIMPES SERVIZI SRL,,www.mipel.com,,ITALIA,A04 A10,,,,
AIMPES SERVIZI SRL,,www.mipel.com,,ITALIA,,,,,
AIMPES SERVIZI SRL,,www.mipel.com,,ITALIA,,,,,
AIMPES SERVIZI SRL,,www.mipel.com,,ITALIA,R15,,,,
ALVIN SRLS,,,,ITALIA,,,,,SI
ARWENA ON-LINE ANDRZEJ KACZOR,,,,POLAND,,,,,SI
BALAJI EXPORT CORPORATION,,www.balajiexport.com,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,",INDIA,,00919674998034,,,SI
CAPPELLIFICIO VECCHI DI MAURILIO VECCHI & C. SAS,,www.vecchi.it,Cappelli,ITALIA,,,,https://www.facebook.com/hatsanddreams https://www.instagram.com/hatsanddreams,SI
CARRIERCO UNIPESSOAL LDA,,https://carriercofashion.com,"Borse|Piccola pelletteria (portafogli,",PORTUGAL,,,,https://www.instagram.com/carrier.co_design/,SI
CATALEYA LEATHERWARE COMPANY LIMITTED,,www.cataleya-group.com,"Borse|Piccola pelletteria (portafogli,|Accessori",HONG KONG (CHINA),,852-69451881,,,SI
CINTURIFICIO LBN S.R.L.,,www.cinturificiolbn.it,"Borse|Piccola pelletteria (portafogli,|Accessori|Cinture",ITALIA,,0817732570,,,SI
CREATIVE PELT PVT LTD,,www.creativepelt.com,"Borse|Piccola pelletteria (portafogli,|Accessori",INDIA,,+91-9830155959,,,SI
DIVYA INTERNATIONAL,,www.divyainternational.in,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori",INDIA,,+918874786688,,,SI
DRESSI J DI CARMEN SOLLO,,,Borse|Accessori|Bijoux,ITALIA,,,,https://www.instagram.com/dressij_moda/,SI
EXCLUSIVE LEDER ACCESSORIES,,www.exclusiveleder.in,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Cinture",INDIA,,9830030027,,,SI
EXPLOIT SRL,,www.lisaconte.com,Borse|Accessori|Capispalla in pelle|Maglieria,ITALIA,,+39-0587714495,,https://www.instagram.com/lisaconteofficial/,SI
FUSION INTERNATIONAL,,www.fusionintl.net,Accessori,INDIA,,,,,SI
GALACTIC INTERNATIONAL,,www.galactic-international.com,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori",INDIA,,+19336115317,,,SI
GIANSA SRL,,www.salvatoresorrentino.it,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Capispalla in pelle|Cinture",ITALIA,,+39-089467207,,https://it-it.facebook.com/sorrentinodesign/ twitter.com/artandjob https://www.instagram.com/salvatoresorrentinodesign/?hl=it,SI
GO BIG INTERNATIONAL SRLS,,www.go-big.it,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Cappelli",ITALIA,,0472788870,,https://www.instagram.com/gobig_international/,SI
GRANDE PELLE,,,,POLAND,,+48790358682,,,SI
HYDE CRAFT INDIA,,,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Guanti|Capispalla in pelle|Cinture|Scarpe",INDIA,,,,https://www.instagram.com/finepelts/profilecard/?igsh=MTh1a2Q4bzJu,SI
IBRAHIM INTERNATIONAL PRIVATE LIMITED,,www.ibrahiminternational.com,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori",INDIA,,,,,SI
JULLIA.D SARL,,www.julliad.com,Borse|Accessori,FRANCE,,0659315373,,https://www.facebook.com/sarl.julliad,SI
KARYA DERİ ÜRÜNLERİ TEKSTİL KUYUMCULUK İNŞAAT SANAYİ VE DIŞ TİCARET LİMİTED ŞİRKETİ,,https://www.karyaclub.com,,TURKEY,I05 L06,+905312370263,,,
